"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Seehof","Seehof","Seehof","BE",8.108108108,"Seehof","Seehof","Seehof","BE","BE","BE",91.891891892,91.891891892,91.891891892
"2","Ederswiler","Ederswiler","Ederswiler","JU",8.474576271,"Ederswiler","Ederswiler","Ederswiler","JU","JU","JU",91.525423729,91.525423729,91.525423729
"3","Riemenstalden","Riemenstalden","Riemenstalden","SZ",9.090909091,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",90.909090909,90.909090909,90.909090909
"4","Zwischbergen","Zwischbergen","Zwischbergen","VS",9.375,"Zwischbergen","Zwischbergen","Zwischbergen","VS","VS","VS",90.625,90.625,90.625
"5","Roches (BE)","Roches BE","Roches BE","BE",10.38961039,"Roches (BE)","Roches BE","Roches BE","BE","BE","BE",89.61038961,89.61038961,89.61038961
"6","Unteriberg","Unteriberg","Unteriberg","SZ",10.683760684,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",89.316239316,89.316239316,89.316239316
"7","Spiringen","Spiringen","Spiringen","UR",10.769230769,"Spiringen","Spiringen","Spiringen","UR","UR","UR",89.230769231,89.230769231,89.230769231
"8","Hospental","Hospental","Hospental","UR",11,"Hospental","Hospental","Hospental","UR","UR","UR",89,89,89
"9","Unterschächen","Unterschächen","Unterschächen","UR",11.574074074,"Unterschächen","Unterschächen","Unterschächen","UR","UR","UR",88.425925926,88.425925926,88.425925926
"10","Vorderthal","Vorderthal","Vorderthal","SZ",12.237762238,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",87.762237762,87.762237762,87.762237762
"11","Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE",12.949640288,"Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE","BE","BE",87.050359712,87.050359712,87.050359712
"12","Wachseldorn","Wachseldorn","Wachseldorn","BE",13.432835821,"Wachseldorn","Wachseldorn","Wachseldorn","BE","BE","BE",86.567164179,86.567164179,86.567164179
"13","Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE",13.601036269,"Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE","BE","BE",86.398963731,86.398963731,86.398963731
"14","Innerthal","Innerthal","Innerthal","SZ",13.793103448,"Innerthal","Innerthal","Innerthal","SZ","SZ","SZ",86.206896552,86.206896552,86.206896552
"15","Oberlangenegg","Oberlangenegg","Oberlangenegg","BE",14.652014652,"Oberlangenegg","Oberlangenegg","Oberlangenegg","BE","BE","BE",85.347985348,85.347985348,85.347985348
"16","Boltigen","Boltigen","Boltigen","BE",15.155807365,"Boltigen","Boltigen","Boltigen","BE","BE","BE",84.844192635,84.844192635,84.844192635
"17","Rothenthurm","Rothenthurm","Rothenthurm","SZ",15.243415802,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",84.756584198,84.756584198,84.756584198
