"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"18","Pohlern","Pohlern","Pohlern","BE",15.322580645,"Pohlern","Pohlern","Pohlern","BE","BE","BE",84.677419355,84.677419355,84.677419355
"19","Reisiswil","Reisiswil","Reisiswil","BE",15.384615385,"Reisiswil","Reisiswil","Reisiswil","BE","BE","BE",84.615384615,84.615384615,84.615384615
"20","Alpthal","Alpthal","Alpthal","SZ",15.463917526,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",84.536082474,84.536082474,84.536082474
"21","Lütschental","Lütschental","Lütschental","BE",15.789473684,"Lütschental","Lütschental","Lütschental","BE","BE","BE",84.210526316,84.210526316,84.210526316
"22","Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE",15.789473684,"Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE","BE","BE",84.210526316,84.210526316,84.210526316
"23","Därstetten","Därstetten","Därstetten","BE",16.210526316,"Därstetten","Därstetten","Därstetten","BE","BE","BE",83.789473684,83.789473684,83.789473684
"24","Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS",16.239316239,"Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS","VS","VS",83.760683761,83.760683761,83.760683761
"25","Kandergrund","Kandergrund","Kandergrund","BE",16.363636364,"Kandergrund","Kandergrund","Kandergrund","BE","BE","BE",83.636363636,83.636363636,83.636363636
"26","Le Châtelard","Le Châtelard","Le Châtelard","FR",16.990291262,"Le Châtelard","Le Châtelard","Le Châtelard","FR","FR","FR",83.009708738,83.009708738,83.009708738
"27","Muotathal","Muotathal","Muotathal","SZ",17.132039754,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",82.867960246,82.867960246,82.867960246
"28","Isone","Isone","Isone","TI",17.204301075,"Isone","Isone","Isone","TI","TI","TI",82.795698925,82.795698925,82.795698925
"29","Schangnau","Schangnau","Schangnau","BE",17.525773196,"Schangnau","Schangnau","Schangnau","BE","BE","BE",82.474226804,82.474226804,82.474226804
"30","Schönengrund","Schönengrund","Schönengrund","AR",18.027210884,"Schönengrund","Schönengrund","Schönengrund","AR","AR","AR",81.972789116,81.972789116,81.972789116
"31","Hasle (LU)","Hasle LU","Hasle LU","LU",18.106617647,"Hasle (LU)","Hasle LU","Hasle LU","LU","LU","LU",81.893382353,81.893382353,81.893382353
"32","Prévondavaux","Prévondavaux","Prévondavaux","FR",18.181818182,"Prévondavaux","Prévondavaux","Prévondavaux","FR","FR","FR",81.818181818,81.818181818,81.818181818
"33","Homberg","Homberg","Homberg","BE",18.571428571,"Homberg","Homberg","Homberg","BE","BE","BE",81.428571429,81.428571429,81.428571429
"34","Zullwil","Zullwil","Zullwil","SO",18.587360595,"Zullwil","Zullwil","Zullwil","SO","SO","SO",81.412639405,81.412639405,81.412639405
"35","Buseno","Buseno","Buseno","GR",18.75,"Buseno","Buseno","Buseno","GR","GR","GR",81.25,81.25,81.25
"36","Eriz","Eriz","Eriz","BE",18.892508143,"Eriz","Eriz","Eriz","BE","BE","BE",81.107491857,81.107491857,81.107491857
"37","Corcelles (BE)","Corcelles BE","Corcelles BE","BE",18.939393939,"Corcelles (BE)","Corcelles BE","Corcelles BE","BE","BE","BE",81.060606061,81.060606061,81.060606061
"38","Raperswilen","Raperswilen","Raperswilen","TG",18.942731278,"Raperswilen","Raperswilen","Raperswilen","TG","TG","TG",81.057268722,81.057268722,81.057268722
"39","Habkern","Habkern","Habkern","BE",19.060052219,"Habkern","Habkern","Habkern","BE","BE","BE",80.939947781,80.939947781,80.939947781
"40","Bellegarde","Jaun","Jaun","FR",19.553072626,"Bellegarde","Jaun","Jaun","FR","FR","FR",80.446927374,80.446927374,80.446927374
"41","Luthern","Luthern","Luthern","LU",19.654714475,"Luthern","Luthern","Luthern","LU","LU","LU",80.345285525,80.345285525,80.345285525
"42","Eggiwil","Eggiwil","Eggiwil","BE",19.806763285,"Eggiwil","Eggiwil","Eggiwil","BE","BE","BE",80.193236715,80.193236715,80.193236715
"43","Eptingen","Eptingen","Eptingen","BL",19.850187266,"Eptingen","Eptingen","Eptingen","BL","BL","BL",80.149812734,80.149812734,80.149812734
"44","Linden","Linden","Linden","BE",20.105820106,"Linden","Linden","Linden","BE","BE","BE",79.894179894,79.894179894,79.894179894
"45","Buchholterberg","Buchholterberg","Buchholterberg","BE",20.131291028,"Buchholterberg","Buchholterberg","Buchholterberg","BE","BE","BE",79.868708972,79.868708972,79.868708972
"46","Court","Court","Court","BE",20.151515152,"Court","Court","Court","BE","BE","BE",79.848484848,79.848484848,79.848484848
"47","Champoz","Champoz","Champoz","BE",20.183486239,"Champoz","Champoz","Champoz","BE","BE","BE",79.816513761,79.816513761,79.816513761
"48","Saint-Silvestre","St. Silvester","St. Silvester","FR",20.374220374,"Saint-Silvestre","St. Silvester","St. Silvester","FR","FR","FR",79.625779626,79.625779626,79.625779626
"49","Liedertswil","Liedertswil","Liedertswil","BL",20.481927711,"Liedertswil","Liedertswil","Liedertswil","BL","BL","BL",79.518072289,79.518072289,79.518072289
"50","Oberhünigen","Oberhünigen","Oberhünigen","BE",20.526315789,"Oberhünigen","Oberhünigen","Oberhünigen","BE","BE","BE",79.473684211,79.473684211,79.473684211
