"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Bosco/Gurin","Bosco/Gurin","Bosco/Gurin","TI",82.608695652,"Bosco/Gurin","Bosco/Gurin","Bosco/Gurin","TI","TI","TI",82.608695652,82.608695652,82.608695652
"2","Vinzel","Vinzel","Vinzel","VD",80.24691358,"Vinzel","Vinzel","Vinzel","VD","VD","VD",80.24691358,80.24691358,80.24691358
"3","Denges","Denges","Denges","VD",80.144404332,"Denges","Denges","Denges","VD","VD","VD",80.144404332,80.144404332,80.144404332
"4","Chigny","Chigny","Chigny","VD",79.738562092,"Chigny","Chigny","Chigny","VD","VD","VD",79.738562092,79.738562092,79.738562092
"5","Berne","Bern","Berna","BE",79.565810328,"Berne","Bern","Berna","BE","BE","BE",79.565810328,79.565810328,79.565810328
"6","Ennetbaden","Ennetbaden","Ennetbaden","AG",79.213114754,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",79.213114754,79.213114754,79.213114754
"7","Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD",79.211469534,"Bogis-Bossey","Bogis-Bossey","Bogis-Bossey","VD","VD","VD",79.211469534,79.211469534,79.211469534
"8","Cheseaux-Noréaz","Cheseaux-Noréaz","Cheseaux-Noréaz","VD",79.041916168,"Cheseaux-Noréaz","Cheseaux-Noréaz","Cheseaux-Noréaz","VD","VD","VD",79.041916168,79.041916168,79.041916168
"9","Duillier","Duillier","Duillier","VD",78.280542986,"Duillier","Duillier","Duillier","VD","VD","VD",78.280542986,78.280542986,78.280542986
"10","Coppet","Coppet","Coppet","VD",78.135048232,"Coppet","Coppet","Coppet","VD","VD","VD",78.135048232,78.135048232,78.135048232
"11","Eclépens","Eclépens","Eclépens","VD",78.07606264,"Eclépens","Eclépens","Eclépens","VD","VD","VD",78.07606264,78.07606264,78.07606264
"12","Chavannes-des-Bois","Chavannes-des-Bois","Chavannes-des-Bois","VD",77.941176471,"Chavannes-des-Bois","Chavannes-des-Bois","Chavannes-des-Bois","VD","VD","VD",77.941176471,77.941176471,77.941176471
"13","Pully","Pully","Pully","VD",77.940220923,"Pully","Pully","Pully","VD","VD","VD",77.940220923,77.940220923,77.940220923
"14","Crans-près-Céligny","Crans-près-Céligny","Crans-près-Céligny","VD",77.939393939,"Crans-près-Céligny","Crans-près-Céligny","Crans-près-Céligny","VD","VD","VD",77.939393939,77.939393939,77.939393939
"15","Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD",77.551020408,"Arnex-sur-Nyon","Arnex-sur-Nyon","Arnex-sur-Nyon","VD","VD","VD",77.551020408,77.551020408,77.551020408
"16","Prangins","Prangins","Prangins","VD",77.395757132,"Prangins","Prangins","Prangins","VD","VD","VD",77.395757132,77.395757132,77.395757132
"17","Rivaz","Rivaz","Rivaz","VD",77.348066298,"Rivaz","Rivaz","Rivaz","VD","VD","VD",77.348066298,77.348066298,77.348066298
"18","Tannay","Tannay","Tannay","VD",76.966292135,"Tannay","Tannay","Tannay","VD","VD","VD",76.966292135,76.966292135,76.966292135
"19","Epalinges","Epalinges","Epalinges","VD",76.961940047,"Epalinges","Epalinges","Epalinges","VD","VD","VD",76.961940047,76.961940047,76.961940047
"20","Lutry","Lutry","Lutry","VD",76.910994764,"Lutry","Lutry","Lutry","VD","VD","VD",76.910994764,76.910994764,76.910994764
"21","Founex","Founex","Founex","VD",76.453488372,"Founex","Founex","Founex","VD","VD","VD",76.453488372,76.453488372,76.453488372
"22","Dully","Dully","Dully","VD",76.348547718,"Dully","Dully","Dully","VD","VD","VD",76.348547718,76.348547718,76.348547718
"23","Maroggia","Maroggia","Maroggia","TI",76.315789474,"Maroggia","Maroggia","Maroggia","TI","TI","TI",76.315789474,76.315789474,76.315789474
"24","Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE",76.23358986,"Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE","BE","BE",76.23358986,76.23358986,76.23358986
"25","Le Mont-sur-Lausanne","Le Mont-sur-Lausanne","Le Mont-sur-Lausanne","VD",76.208829713,"Le Mont-sur-Lausanne","Le Mont-sur-Lausanne","Le Mont-sur-Lausanne","VD","VD","VD",76.208829713,76.208829713,76.208829713
"26","Belmont-sur-Lausanne","Belmont-sur-Lausanne","Belmont-sur-Lausanne","VD",76.113074205,"Belmont-sur-Lausanne","Belmont-sur-Lausanne","Belmont-sur-Lausanne","VD","VD","VD",76.113074205,76.113074205,76.113074205
"27","Bolligen","Bolligen","Bolligen","BE",75.793650794,"Bolligen","Bolligen","Bolligen","BE","BE","BE",75.793650794,75.793650794,75.793650794
"28","Saint-Sulpice (VD)","Saint-Sulpice VD","Saint-Sulpice VD","VD",75.714285714,"Saint-Sulpice (VD)","Saint-Sulpice VD","Saint-Sulpice VD","VD","VD","VD",75.714285714,75.714285714,75.714285714
"29","Lausanne","Lausanne","Losanna","VD",75.66094728,"Lausanne","Lausanne","Losanna","VD","VD","VD",75.66094728,75.66094728,75.66094728
"30","Ferreyres","Ferreyres","Ferreyres","VD",75.641025641,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",75.641025641,75.641025641,75.641025641
"31","Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD",75.60137457,"Lussy-sur-Morges","Lussy-sur-Morges","Lussy-sur-Morges","VD","VD","VD",75.60137457,75.60137457,75.60137457
"32","Echandens","Echandens","Echandens","VD",75.58974359,"Echandens","Echandens","Echandens","VD","VD","VD",75.58974359,75.58974359,75.58974359
"33","Denens","Denens","Denens","VD",75.581395349,"Denens","Denens","Denens","VD","VD","VD",75.581395349,75.581395349,75.581395349
"34","Signy-Avenex","Signy-Avenex","Signy-Avenex","VD",75.56561086,"Signy-Avenex","Signy-Avenex","Signy-Avenex","VD","VD","VD",75.56561086,75.56561086,75.56561086
"35","Mies","Mies","Mies","VD",75.475285171,"Mies","Mies","Mies","VD","VD","VD",75.475285171,75.475285171,75.475285171
"36","Massagno","Massagno","Massagno","TI",75.460122699,"Massagno","Massagno","Massagno","TI","TI","TI",75.460122699,75.460122699,75.460122699
"37","Villars-Epeney","Villars-Epeney","Villars-Epeney","VD",75.438596491,"Villars-Epeney","Villars-Epeney","Villars-Epeney","VD","VD","VD",75.438596491,75.438596491,75.438596491
"38","Etagnières","Etagnières","Etagnières","VD",75.398633257,"Etagnières","Etagnières","Etagnières","VD","VD","VD",75.398633257,75.398633257,75.398633257
"39","Commugny","Commugny","Commugny","VD",75.301866081,"Commugny","Commugny","Commugny","VD","VD","VD",75.301866081,75.301866081,75.301866081
"40","Bremblens","Bremblens","Bremblens","VD",75.294117647,"Bremblens","Bremblens","Bremblens","VD","VD","VD",75.294117647,75.294117647,75.294117647
"41","Zurich","Zürich","Zurigo","ZH",75.253448201,"Zurich","Zürich","Zurigo","ZH","ZH","ZH",75.253448201,75.253448201,75.253448201
"42","Genolier","Genolier","Genolier","VD",75.174337517,"Genolier","Genolier","Genolier","VD","VD","VD",75.174337517,75.174337517,75.174337517
"43","Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD",75.107296137,"Romanel-sur-Morges","Romanel-sur-Morges","Romanel-sur-Morges","VD","VD","VD",75.107296137,75.107296137,75.107296137
"44","Saint-Blaise","Saint-Blaise","Saint-Blaise","NE",75.038284839,"Saint-Blaise","Saint-Blaise","Saint-Blaise","NE","NE","NE",75.038284839,75.038284839,75.038284839
"45","Givrins","Givrins","Givrins","VD",74.940898345,"Givrins","Givrins","Givrins","VD","VD","VD",74.940898345,74.940898345,74.940898345
"46","Muri bei Bern","Muri bei Bern","Muri bei Bern","BE",74.926059809,"Muri bei Bern","Muri bei Bern","Muri bei Bern","BE","BE","BE",74.926059809,74.926059809,74.926059809
"47","Féchy","Féchy","Féchy","VD",74.85380117,"Féchy","Féchy","Féchy","VD","VD","VD",74.85380117,74.85380117,74.85380117
"48","Veyrier","Veyrier","Veyrier","GE",74.688149688,"Veyrier","Veyrier","Veyrier","GE","GE","GE",74.688149688,74.688149688,74.688149688
"49","Bussy-Chardonney","Bussy-Chardonney","Bussy-Chardonney","VD",74.634146341,"Bussy-Chardonney","Bussy-Chardonney","Bussy-Chardonney","VD","VD","VD",74.634146341,74.634146341,74.634146341
"50","Chavannes-de-Bogis","Chavannes-de-Bogis","Chavannes-de-Bogis","VD",74.607329843,"Chavannes-de-Bogis","Chavannes-de-Bogis","Chavannes-de-Bogis","VD","VD","VD",74.607329843,74.607329843,74.607329843
