"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Berken","Berken","Berken","BE",3.225806452,"Berken","Berken","Berken","BE","BE","BE",96.774193548,96.774193548,96.774193548
"2","Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS",4.201680672,"Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS","VS","VS",95.798319328,95.798319328,95.798319328
"3","Riemenstalden","Riemenstalden","Riemenstalden","SZ",4.444444444,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",95.555555556,95.555555556,95.555555556
"4","Seehof","Seehof","Seehof","BE",5.405405405,"Seehof","Seehof","Seehof","BE","BE","BE",94.594594595,94.594594595,94.594594595
"5","Unterschächen","Unterschächen","Unterschächen","UR",5.747126437,"Unterschächen","Unterschächen","Unterschächen","UR","UR","UR",94.252873563,94.252873563,94.252873563
"6","Romoos","Romoos","Romoos","LU",6.944444444,"Romoos","Romoos","Romoos","LU","LU","LU",93.055555556,93.055555556,93.055555556
"7","Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD",7.042253521,"Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD","VD","VD",92.957746479,92.957746479,92.957746479
"8","Luthern","Luthern","Luthern","LU",7.124010554,"Luthern","Luthern","Luthern","LU","LU","LU",92.875989446,92.875989446,92.875989446
"9","Spiringen","Spiringen","Spiringen","UR",7.485604607,"Spiringen","Spiringen","Spiringen","UR","UR","UR",92.514395393,92.514395393,92.514395393
"10","Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE",7.731958763,"Röthenbach im Emmental","Röthenbach im Emmental","Röthenbach im Emmental","BE","BE","BE",92.268041237,92.268041237,92.268041237
"11","Isérables","Isérables","Isérables","VS",8.415841584,"Isérables","Isérables","Isérables","VS","VS","VS",91.584158416,91.584158416,91.584158416
"12","Innerthal","Innerthal","Innerthal","SZ",8.474576271,"Innerthal","Innerthal","Innerthal","SZ","SZ","SZ",91.525423729,91.525423729,91.525423729
"13","Törbel","Törbel","Törbel","VS",8.766233766,"Törbel","Törbel","Törbel","VS","VS","VS",91.233766234,91.233766234,91.233766234
"14","Wachseldorn","Wachseldorn","Wachseldorn","BE",8.823529412,"Wachseldorn","Wachseldorn","Wachseldorn","BE","BE","BE",91.176470588,91.176470588,91.176470588
"15","Schangnau","Schangnau","Schangnau","BE",8.873720137,"Schangnau","Schangnau","Schangnau","BE","BE","BE",91.126279863,91.126279863,91.126279863
"16","Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD",9.411764706,"Chavannes-le-Veyron","Chavannes-le-Veyron","Chavannes-le-Veyron","VD","VD","VD",90.588235294,90.588235294,90.588235294
"17","Hergiswil bei Willisau","Hergiswil bei Willisau","Hergiswil bei Willisau","LU",9.460654288,"Hergiswil bei Willisau","Hergiswil bei Willisau","Hergiswil bei Willisau","LU","LU","LU",90.539345712,90.539345712,90.539345712
"18","Habkern","Habkern","Habkern","BE",9.511568123,"Habkern","Habkern","Habkern","BE","BE","BE",90.488431877,90.488431877,90.488431877
"19","Eggiwil","Eggiwil","Eggiwil","BE",9.679618269,"Eggiwil","Eggiwil","Eggiwil","BE","BE","BE",90.320381731,90.320381731,90.320381731
"20","Mont-Tramelan","Mont-Tramelan","Mont-Tramelan","BE",10,"Mont-Tramelan","Mont-Tramelan","Mont-Tramelan","BE","BE","BE",90,90,90
"21","Le Châtelard","Le Châtelard","Le Châtelard","FR",10.04784689,"Le Châtelard","Le Châtelard","Le Châtelard","FR","FR","FR",89.95215311,89.95215311,89.95215311
"22","Entlebuch","Entlebuch","Entlebuch","LU",10.297961317,"Entlebuch","Entlebuch","Entlebuch","LU","LU","LU",89.702038683,89.702038683,89.702038683
"23","Flühli","Flühli","Flühli","LU",10.664172123,"Flühli","Flühli","Flühli","LU","LU","LU",89.335827877,89.335827877,89.335827877
"24","Rumendingen","Rumendingen","Rumendingen","BE",10.714285714,"Rumendingen","Rumendingen","Rumendingen","BE","BE","BE",89.285714286,89.285714286,89.285714286
"25","Gondiswil","Gondiswil","Gondiswil","BE",10.798122066,"Gondiswil","Gondiswil","Gondiswil","BE","BE","BE",89.201877934,89.201877934,89.201877934
"26","Hasle (LU)","Hasle LU","Hasle LU","LU",11.030082042,"Hasle (LU)","Hasle LU","Hasle LU","LU","LU","LU",88.969917958,88.969917958,88.969917958
"27","Saas-Balen","Saas-Balen","Saas-Balen","VS",11.162790698,"Saas-Balen","Saas-Balen","Saas-Balen","VS","VS","VS",88.837209302,88.837209302,88.837209302
"28","Poliez-Pittet","Poliez-Pittet","Poliez-Pittet","VD",11.168831169,"Poliez-Pittet","Poliez-Pittet","Poliez-Pittet","VD","VD","VD",88.831168831,88.831168831,88.831168831
"29","La Brévine","La Brévine","La Brévine","NE",11.294117647,"La Brévine","La Brévine","La Brévine","NE","NE","NE",88.705882353,88.705882353,88.705882353
"30","Prévondavaux","Prévondavaux","Prévondavaux","FR",11.363636364,"Prévondavaux","Prévondavaux","Prévondavaux","FR","FR","FR",88.636363636,88.636363636,88.636363636
"31","Saas-Grund","Saas-Grund","Saas-Grund","VS",11.409395973,"Saas-Grund","Saas-Grund","Saas-Grund","VS","VS","VS",88.590604027,88.590604027,88.590604027
"32","Muotathal","Muotathal","Muotathal","SZ",11.425873466,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",88.574126534,88.574126534,88.574126534
"33","Brot-Plamboz","Brot-Plamboz","Brot-Plamboz","NE",11.475409836,"Brot-Plamboz","Brot-Plamboz","Brot-Plamboz","NE","NE","NE",88.524590164,88.524590164,88.524590164
"34","Rohrbachgraben","Rohrbachgraben","Rohrbachgraben","BE",11.489361702,"Rohrbachgraben","Rohrbachgraben","Rohrbachgraben","BE","BE","BE",88.510638298,88.510638298,88.510638298
"35","Oberlangenegg","Oberlangenegg","Oberlangenegg","BE",11.510791367,"Oberlangenegg","Oberlangenegg","Oberlangenegg","BE","BE","BE",88.489208633,88.489208633,88.489208633
"36","Cerentino","Cerentino","Cerentino","TI",11.538461538,"Cerentino","Cerentino","Cerentino","TI","TI","TI",88.461538462,88.461538462,88.461538462
"37","Sévery","Sévery","Sévery","VD",11.627906977,"Sévery","Sévery","Sévery","VD","VD","VD",88.372093023,88.372093023,88.372093023
"38","Embd","Embd","Embd","VS",11.724137931,"Embd","Embd","Embd","VS","VS","VS",88.275862069,88.275862069,88.275862069
"39","Walterswil (BE)","Walterswil BE","Walterswil BE","BE",11.730205279,"Walterswil (BE)","Walterswil BE","Walterswil BE","BE","BE","BE",88.269794721,88.269794721,88.269794721
"40","Landiswil","Landiswil","Landiswil","BE",11.73594132,"Landiswil","Landiswil","Landiswil","BE","BE","BE",88.26405868,88.26405868,88.26405868
"41","Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD",11.764705882,"Treytorrens (Payerne)","Treytorrens (Payerne)","Treytorrens (Payerne)","VD","VD","VD",88.235294118,88.235294118,88.235294118
"42","Pont-la-Ville","Pont-la-Ville","Pont-la-Ville","FR",11.897106109,"Pont-la-Ville","Pont-la-Ville","Pont-la-Ville","FR","FR","FR",88.102893891,88.102893891,88.102893891
"43","Villarsel-sur-Marly","Villarsel-sur-Marly","Villarsel-sur-Marly","FR",11.904761905,"Villarsel-sur-Marly","Villarsel-sur-Marly","Villarsel-sur-Marly","FR","FR","FR",88.095238095,88.095238095,88.095238095
"44","Doppleschwand","Doppleschwand","Doppleschwand","LU",12.007874016,"Doppleschwand","Doppleschwand","Doppleschwand","LU","LU","LU",87.992125984,87.992125984,87.992125984
"45","Hermenches","Hermenches","Hermenches","VD",12.021857923,"Hermenches","Hermenches","Hermenches","VD","VD","VD",87.978142077,87.978142077,87.978142077
"46","Lütschental","Lütschental","Lütschental","BE",12.068965517,"Lütschental","Lütschental","Lütschental","BE","BE","BE",87.931034483,87.931034483,87.931034483
"47","Ufhusen","Ufhusen","Ufhusen","LU",12.081784387,"Ufhusen","Ufhusen","Ufhusen","LU","LU","LU",87.918215613,87.918215613,87.918215613
"48","Bioley-Orjulaz","Bioley-Orjulaz","Bioley-Orjulaz","VD",12.096774194,"Bioley-Orjulaz","Bioley-Orjulaz","Bioley-Orjulaz","VD","VD","VD",87.903225806,87.903225806,87.903225806
"49","Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD",12.096774194,"Bussy-sur-Moudon","Bussy-sur-Moudon","Bussy-sur-Moudon","VD","VD","VD",87.903225806,87.903225806,87.903225806
"50","Val-d'Illiez","Val-d'Illiez","Val-d'Illiez","VS",12.15526047,"Val-d'Illiez","Val-d'Illiez","Val-d'Illiez","VS","VS","VS",87.84473953,87.84473953,87.84473953
