"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Unteriberg","Unteriberg","Unteriberg","SZ",12.23628692,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",87.76371308,87.76371308,87.76371308
"2","Illgau","Illgau","Illgau","SZ",17.418032787,"Illgau","Illgau","Illgau","SZ","SZ","SZ",82.581967213,82.581967213,82.581967213
"3","Muotathal","Muotathal","Muotathal","SZ",18.418560606,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",81.581439394,81.581439394,81.581439394
"4","Alpthal","Alpthal","Alpthal","SZ",18.556701031,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",81.443298969,81.443298969,81.443298969
"5","Roches (BE)","Roches BE","Roches BE","BE",18.987341772,"Roches (BE)","Roches BE","Roches BE","BE","BE","BE",81.012658228,81.012658228,81.012658228
"6","Seehof","Seehof","Seehof","BE",19.444444444,"Seehof","Seehof","Seehof","BE","BE","BE",80.555555556,80.555555556,80.555555556
"7","Vorderthal","Vorderthal","Vorderthal","SZ",20.173913043,"Vorderthal","Vorderthal","Vorderthal","SZ","SZ","SZ",79.826086957,79.826086957,79.826086957
"8","Spiringen","Spiringen","Spiringen","UR",20.588235294,"Spiringen","Spiringen","Spiringen","UR","UR","UR",79.411764706,79.411764706,79.411764706
"9","Unterschächen","Unterschächen","Unterschächen","UR",20.979020979,"Unterschächen","Unterschächen","Unterschächen","UR","UR","UR",79.020979021,79.020979021,79.020979021
"10","Ederswiler","Ederswiler","Ederswiler","JU",21.818181818,"Ederswiler","Ederswiler","Ederswiler","JU","JU","JU",78.181818182,78.181818182,78.181818182
"11","Riemenstalden","Riemenstalden","Riemenstalden","SZ",22.222222222,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",77.777777778,77.777777778,77.777777778
"12","Steinerberg","Steinerberg","Steinerberg","SZ",22.674418605,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",77.325581395,77.325581395,77.325581395
"13","Rothenthurm","Rothenthurm","Rothenthurm","SZ",23.058446757,"Rothenthurm","Rothenthurm","Rothenthurm","SZ","SZ","SZ",76.941553243,76.941553243,76.941553243
"14","Reisiswil","Reisiswil","Reisiswil","BE",23.300970874,"Reisiswil","Reisiswil","Reisiswil","BE","BE","BE",76.699029126,76.699029126,76.699029126
"15","Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE",23.913043478,"Horrenbach-Buchen","Horrenbach-Buchen","Horrenbach-Buchen","BE","BE","BE",76.086956522,76.086956522,76.086956522
"16","Dozwil","Dozwil","Dozwil","TG",24.148606811,"Dozwil","Dozwil","Dozwil","TG","TG","TG",75.851393189,75.851393189,75.851393189
"17","Kandergrund","Kandergrund","Kandergrund","BE",24.367816092,"Kandergrund","Kandergrund","Kandergrund","BE","BE","BE",75.632183908,75.632183908,75.632183908
"18","Schönengrund","Schönengrund","Schönengrund","AR",24.482758621,"Schönengrund","Schönengrund","Schönengrund","AR","AR","AR",75.517241379,75.517241379,75.517241379
"19","Prévondavaux","Prévondavaux","Prévondavaux","FR",25,"Prévondavaux","Prévondavaux","Prévondavaux","FR","FR","FR",75,75,75
"20","Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE",25.190839695,"Oberwil im Simmental","Oberwil im Simmental","Oberwil im Simmental","BE","BE","BE",74.809160305,74.809160305,74.809160305
"21","Saint-Etienne","St. Stephan","St. Stephan","BE",26.120358515,"Saint-Etienne","St. Stephan","St. Stephan","BE","BE","BE",73.879641485,73.879641485,73.879641485
"22","Boltigen","Boltigen","Boltigen","BE",26.68579627,"Boltigen","Boltigen","Boltigen","BE","BE","BE",73.31420373,73.31420373,73.31420373
"23","Raperswilen","Raperswilen","Raperswilen","TG",26.905829596,"Raperswilen","Raperswilen","Raperswilen","TG","TG","TG",73.094170404,73.094170404,73.094170404
"24","Bellegarde","Jaun","Jaun","FR",27.019498607,"Bellegarde","Jaun","Jaun","FR","FR","FR",72.980501393,72.980501393,72.980501393
"25","Lütschental","Lütschental","Lütschental","BE",27.027027027,"Lütschental","Lütschental","Lütschental","BE","BE","BE",72.972972973,72.972972973,72.972972973
"26","Hundwil","Hundwil","Hundwil","AR",27.9296875,"Hundwil","Hundwil","Hundwil","AR","AR","AR",72.0703125,72.0703125,72.0703125
"27","Hemberg","Hemberg","Hemberg","SG",28.273244782,"Hemberg","Hemberg","Hemberg","SG","SG","SG",71.726755218,71.726755218,71.726755218
"28","Urnäsch","Urnäsch","Urnäsch","AR",28.522630231,"Urnäsch","Urnäsch","Urnäsch","AR","AR","AR",71.477369769,71.477369769,71.477369769
"29","Burg im Leimental","Burg im Leimental","Burg im Leimental","BL",28.571428571,"Burg im Leimental","Burg im Leimental","Burg im Leimental","BL","BL","BL",71.428571429,71.428571429,71.428571429
"30","Sattel","Sattel","Sattel","SZ",28.682170543,"Sattel","Sattel","Sattel","SZ","SZ","SZ",71.317829457,71.317829457,71.317829457
"31","Uezwil","Uezwil","Uezwil","AG",28.8,"Uezwil","Uezwil","Uezwil","AG","AG","AG",71.2,71.2,71.2
"32","Lauenen","Lauenen","Lauenen","BE",28.935185185,"Lauenen","Lauenen","Lauenen","BE","BE","BE",71.064814815,71.064814815,71.064814815
"33","Hasle (LU)","Hasle LU","Hasle LU","LU",29.005524862,"Hasle (LU)","Hasle LU","Hasle LU","LU","LU","LU",70.994475138,70.994475138,70.994475138
"34","Homberg","Homberg","Homberg","BE",29.136690647,"Homberg","Homberg","Homberg","BE","BE","BE",70.863309353,70.863309353,70.863309353
"35","Luthern","Luthern","Luthern","LU",29.149797571,"Luthern","Luthern","Luthern","LU","LU","LU",70.850202429,70.850202429,70.850202429
"36","Rohrbachgraben","Rohrbachgraben","Rohrbachgraben","BE",29.310344828,"Rohrbachgraben","Rohrbachgraben","Rohrbachgraben","BE","BE","BE",70.689655172,70.689655172,70.689655172
"37","Därstetten","Därstetten","Därstetten","BE",29.424307036,"Därstetten","Därstetten","Därstetten","BE","BE","BE",70.575692964,70.575692964,70.575692964
"38","Schlatt-Haslen","Schlatt-Haslen","Schlatt-Haslen","AI",29.701230228,"Schlatt-Haslen","Schlatt-Haslen","Schlatt-Haslen","AI","AI","AI",70.298769772,70.298769772,70.298769772
"39","Oberiberg","Oberiberg","Oberiberg","SZ",30.037313433,"Oberiberg","Oberiberg","Oberiberg","SZ","SZ","SZ",69.962686567,69.962686567,69.962686567
"40","Schwellbrunn","Schwellbrunn","Schwellbrunn","AR",30.299539171,"Schwellbrunn","Schwellbrunn","Schwellbrunn","AR","AR","AR",69.700460829,69.700460829,69.700460829
"41","Adelboden","Adelboden","Adelboden","BE",30.726256983,"Adelboden","Adelboden","Adelboden","BE","BE","BE",69.273743017,69.273743017,69.273743017
"42","Rongellen","Rongellen","Rongellen","GR",30.769230769,"Rongellen","Rongellen","Rongellen","GR","GR","GR",69.230769231,69.230769231,69.230769231
"43","Teuffenthal (BE)","Teuffenthal BE","Teuffenthal BE","BE",30.927835052,"Teuffenthal (BE)","Teuffenthal BE","Teuffenthal BE","BE","BE","BE",69.072164948,69.072164948,69.072164948
"44","Diemtigen","Diemtigen","Diemtigen","BE",31.225296443,"Diemtigen","Diemtigen","Diemtigen","BE","BE","BE",68.774703557,68.774703557,68.774703557
"45","Morschach","Morschach","Morschach","SZ",31.860036832,"Morschach","Morschach","Morschach","SZ","SZ","SZ",68.139963168,68.139963168,68.139963168
"46","Mosnang","Mosnang","Mosnang","SG",31.921618205,"Mosnang","Mosnang","Mosnang","SG","SG","SG",68.078381795,68.078381795,68.078381795
"47","Sisikon","Sisikon","Sisikon","UR",32.121212121,"Sisikon","Sisikon","Sisikon","UR","UR","UR",67.878787879,67.878787879,67.878787879
"48","Eptingen","Eptingen","Eptingen","BL",32.196969697,"Eptingen","Eptingen","Eptingen","BL","BL","BL",67.803030303,67.803030303,67.803030303
"49","Roggliswil","Roggliswil","Roggliswil","LU",32.33256351,"Roggliswil","Roggliswil","Roggliswil","LU","LU","LU",67.66743649,67.66743649,67.66743649
"50","Häutligen","Häutligen","Häutligen","BE",32.5,"Häutligen","Häutligen","Häutligen","BE","BE","BE",67.5,67.5,67.5
